company_name,rank,state,county,amount_owed,total_balance,tax_type,warrant_id,filed_date,source,source_url,industry,priority_score,sp500_match,scraped_at
"2013 MANHATTAN ASSETS, INC.",1,NY,NEW YORK,349.26,26108167.96,Corporation,E038618986W001,Apr,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Real Estate,critical,False,2026-04-11T15:31:45.365270
ZAHMEL RESTAURANT SUPPLIES CORP. TRADING AS CASH & CARRY FOODS,3,NY,NASSAU,13526041.49,13526041.49,Sales and Use,E816309561W002,Jan,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Auto Dealership,critical,False,2026-04-11T15:31:45.365312
655 FIFTH AVENUE MANHATTAN CORPORATION,4,NY,NEW YORK,7362979.78,9914422.12,Corporation,E008371042W001,Jan,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,critical,False,2026-04-11T15:31:45.365326
WOODSIDE MANAGEMENT INC.,5,NY,QUEENS,34577.51,6332907.5,Corporation,E815509335W104,Nov,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Property Management,critical,False,2026-04-11T15:31:45.375621
WOODSIDE MANAGEMENT INC.,5,NY,QUEENS,36278.48,6332907.5,Taxicab Fee,E815509335W028,Jul,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Property Management,critical,False,2026-04-11T15:31:45.385677
WOODSIDE MANAGEMENT INC.,5,NY,QUEENS,39664.95,6332907.5,Taxicab Fee,E815509335W054,Jul,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Property Management,critical,False,2026-04-11T15:31:45.396553
GLOBAL ENERGY EFFICIENCY HOLDINGS INC.,6,NY,ONONDAGA,6412.5,6012207.86,Corporation,E037097881W008,Oct,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,critical,False,2026-04-11T15:31:45.396568
TAKARA INDUSTRY CORPORATION,7,NY,NEW YORK,1510857.38,5766891.77,Corporation,E036875781W005,May,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,critical,False,2026-04-11T15:31:45.396578
TIMOTHY DERAU D/B/A TIMOTHY TECH,8,NY,ALBANY,953.51,5229166.06,Sales and Use,E059764473W003,Nov,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,critical,False,2026-04-11T15:31:45.396589
"SHERRY-LEHMANN, INC.",9,NY,NEW YORK,232784.98,4941374.79,Use,E019010486W007,Mar,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,high,False,2026-04-11T15:31:45.410244
"RCI PLBG, INC.",10,NY,RICHMOND,13059.5,4599095.52,Corporation,E037445438W003,Jan,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,high,False,2026-04-11T15:31:45.410269
TEN UNDERSCORES LLC TRADING AS INTENTIONALLY BLANK,11,NY,COLUMBIA,3932853.71,3932853.71,Sales and Use,E322011113W003,Dec,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,high,False,2026-04-11T15:31:45.410282
NOVOFAM LLC A/K/A GALAXY GROUP INVESTMENTS LLC,12,NY,NEW YORK,3837461.86,3837461.86,Withholding,E059423243W001,Feb,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,high,False,2026-04-11T15:31:45.410291
Q8 GROUP INC.,13,NY,QUEENS,2298.46,3823700.09,Corporation,E044923881W008,Apr,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,high,False,2026-04-11T15:31:45.410298
26 AUTO SALES INC.,14,NY,KINGS,3757948.73,3757948.73,Sales and Use,E060436921W001,Jan,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Auto Dealership,high,False,2026-04-11T15:31:45.410306
TRIANGLE AUTO INC.,15,NY,KINGS,1137.01,3582753.13,Sales and Use,E024038191W001,May,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Auto Dealership,high,False,2026-04-11T15:31:45.410313
"HAWK CONTRACTING OF NY, INC.",16,NY,KINGS,701.19,3227567.54,Corporation,E028584586W007,Sep,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Construction,high,False,2026-04-11T15:31:45.410322
RACK OIL CORP.,17,NY,KINGS,1662.73,3196587.24,Corporation,E046620539W003,Oct,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,high,False,2026-04-11T15:31:45.420500
"SHAWN MCKEE ENTERPRISES, INC.",18,NY,SUFFOLK,1932490.74,2945708.86,Sales and Use,E037020876W004,Dec,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,high,False,2026-04-11T15:31:45.420516
"TUNNEL TAXI MANAGEMENT, LLC",19,NY,QUEENS,5758.15,2853046.52,Corporation,E032517876W077,Feb,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Real Estate,high,False,2026-04-11T15:31:45.430728
"TUNNEL TAXI MANAGEMENT, LLC",19,NY,NEW YORK,33510.01,2853046.52,Taxicab Fee,E032517876W049,May,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Real Estate,high,False,2026-04-11T15:31:45.441222
DAVID J HOFFMAN D/B/A HOFFMAN AUTO SALES,21,NY,MONROE,149602.42,2826596.31,Sales and Use,E047268344W016,Sep,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Auto Dealership,high,False,2026-04-11T15:31:45.453079
VALLEY AUTO REPAIR LLC,22,NY,DUTCHESS,2622485.2,2659201.08,Sales and Use,E052526228W002,Feb,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Auto Dealership,high,False,2026-04-11T15:31:45.453100
"F.A. USA GROUP, INC.",23,NY,RICHMOND,2583913.8,2583913.8,Sales and Use,E059891928W001,May,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,high,False,2026-04-11T15:31:45.453111
SMALLBONE INC.,24,NY,NEW YORK,2573179.59,2577561.79,Sales and Use,E035274935W004,Aug,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,Other,high,False,2026-04-11T15:31:45.453119
