rank,company_name,tax_type,amount,balance,filed_date,county,state,source,source_url,scraped_at
3,ZAHMEL RESTAURANT SUPPLIES CORP. TRADING AS CASH & CARRY FOODS,Sales and,13526041.49,13526041.49,Jan,NASSAU,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.044732
5,WOODSIDE MANAGEMENT INC.,Corporation,34577.51,6332907.5,Nov,QUEENS,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.055284
5,WOODSIDE MANAGEMENT INC.,Taxicab,36278.48,6332907.5,Jul,QUEENS,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.065656
5,WOODSIDE MANAGEMENT INC.,Taxicab,39664.95,6332907.5,Jul,QUEENS,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.076898
6,GLOBAL ENERGY EFFICIENCY HOLDINGS INC.,Corporation,6412.5,6012207.86,Oct,ONONDAGA,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.076926
7,TAKARA INDUSTRY CORPORATION,Corporation,1510857.38,5766891.77,May,NEW YORK,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.076948
10,"RCI PLBG, INC.",Corporation,13059.5,4599095.52,Jan,RICHMOND,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.087895
11,TEN UNDERSCORES LLC TRADING AS INTENTIONALLY BLANK,Sales and,3932853.71,3932853.71,Dec,COLUMBIA,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.087925
15,TRIANGLE AUTO INC.,Sales and,1137.01,3582753.13,May,KINGS,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.087947
16,"HAWK CONTRACTING OF NY, INC.",Corporation,701.19,3227567.54,Sep,KINGS,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.087967
16,"HAWK CONTRACTING OF NY, INC.",Sales and,,,,,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.098515
17,RACK OIL CORP.,Corporation,1662.73,3196587.24,Oct,KINGS,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.098538
18,"SHAWN MCKEE ENTERPRISES, INC.",Sales and,1932490.74,2945708.86,Dec,SUFFOLK,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.098565
18,"SHAWN MCKEE ENTERPRISES, INC.",Sales and,,,,,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.108903
19,"TUNNEL TAXI MANAGEMENT, LLC",Corporation,5758.15,2853046.52,Feb,QUEENS,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.108925
19,"TUNNEL TAXI MANAGEMENT, LLC",Taxicab,33510.01,2853046.52,May,NEW YORK,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.119537
22,VALLEY AUTO REPAIR LLC,Sales and,2622485.2,2659201.08,Feb,DUTCHESS,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.131135
23,"F.A. USA GROUP, INC.",Sales and,2583913.8,2583913.8,May,RICHMOND,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.131163
24,SMALLBONE INC.,Sales and,2573179.59,2577561.79,Aug,NEW YORK,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.131182
25,COMPLETE RENOVATION & CONTRACTING CORP,Sales and,2527228.66,2527228.66,Jul,BRONX,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.131204
26,"R.H. STENECK SERVICES, INC.",Sales and,,,,,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.131217
28,"JAM JUICE VAPE SHOP, INC.",Sales and,116000.0,2102118.84,Apr,QUEENS,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.141863
29,"ROTAVELE ELEVATOR, INC. TRADING AS CONTRACTOR SERVICES",Sales and,2057947.12,2057947.12,Sep,QUEENS,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.141887
30,"DANBERG ENTERPRISES, INC. TRADING AS ARSENAL CITY TAVERN",Sales and,1936985.38,2046374.0,Jan,ALBANY,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.141909
31,"AGL INDUSTRIES, INC.",Corporation,139981.44,2034028.24,Sep,QUEENS,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.141929
32,S & J INDUSTRIAL CORP.,Corporation,1356.51,2019912.5,Sep,QUEENS,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.141951
32,S & J INDUSTRIAL CORP.,Withholding,1303487.67,2019912.5,Mar,QUEENS,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.153085
34,ROMA FLI CORP.,Corporation,2874.36,1871915.14,Apr,SUFFOLK,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.153111
35,"EXECUTIVE AUTO REPAIR II, INC.",Corporation,3924.09,1682435.58,May,NASSAU,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.153131
36,AVERY AUTO TRADING AS TRIANGLE COLLISION,Sales and,1511948.97,1511948.97,Nov,KINGS,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.153153
37,NEW HORIZON AUTOMOTIVE INC,Sales and,237121.1,1481907.57,Feb,KINGS,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.153172
39,ROMA NEW YORK INC. TRADING AS ROMA FURNITURE,Sales and,1454651.1,1454651.1,Apr,SUFFOLK,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.153194
40,BABYBJORN INC.,Sales and,,,,,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.153199
41,"GIBRALTAR CONTRACTING, INC.",Corporation,2119.5,1444591.54,Mar,BRONX,NY,NY State Tax Department,https://www.tax.ny.gov/pdf/enforcement/delinquent_taxpayers_businesses.pdf,2026-04-11T15:28:50.153218
